path	delta	owner	reason	migration	verification
src/qaip/types/create_agent_run_input_param.py	M	Stainless	generatedがnextに未統合のinclude_retrieved等	親の生成更新を統合（独自削除と誤認しない）	入力SHA・生成SHA・統合差分
src/qaip/types/created_api_key.py	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_query_column.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_query_create_params.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_query_create_response.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_query_preparing_response.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_query_result_response.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_query_state.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_query_state_only_response.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_table_column.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_table_query_response.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_table_schema.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/external_table_schema_response.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/issuable_api_key_scope.py	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/keyword.py	A	Stainless	独自resourceの公開型	SDK専用schemaから公開型/exportを生成、60契約ケースで検証済み	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/keyword_create_params.py	A	Stainless	独自resourceの公開型	SDK専用schemaから公開型/exportを生成、60契約ケースで検証済み	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/keyword_list_params.py	A	Stainless	独自resourceの公開型	SDK専用schemaから公開型/exportを生成、60契約ケースで検証済み	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/keyword_list_response.py	A	Stainless	独自resourceの公開型	SDK専用schemaから公開型/exportを生成、60契約ケースで検証済み	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/keyword_update_params.py	A	Stainless	独自resourceの公開型	SDK専用schemaから公開型/exportを生成、60契約ケースで検証済み	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/tag_management_create_params.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/tag_management_update_params.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/user_keyword_snapshot.py	A	Stainless	独自resourceの公開型	SDK専用schemaから公開型/exportを生成、60契約ケースで検証済み	公開import・HTTP契約・同期/非同期wrapper
tests/api_resources/test_client.py	M	Stainless	generatedがnextに未統合のinclude_retrieved等	親の生成更新を統合（独自削除と誤認しない）	入力SHA・生成SHA・統合差分
tests/api_resources/test_crawl_raw_api.py	A	手書き	独自SDK/CLIの回帰テスト	tests/customへ移設済み（legacyのskipは互換性成功に数えない）	収集ID比較・v1/v2全suite
tests/api_resources/test_keywords.py	A	手書き	独自SDK/CLIの回帰テスト	tests/customへ移設済み（legacyのskipは互換性成功に数えない）	収集ID比較・v1/v2全suite
tests/api_resources/test_requested_api_coverage.py	A	手書き	独自SDK/CLIの回帰テスト	tests/customへ移設済み（legacyのskipは互換性成功に数えない）	収集ID比較・v1/v2全suite
tests/api_resources/test_user_keyword_snapshots.py	A	手書き	独自SDK/CLIの回帰テスト	tests/customへ移設済み（legacyのskipは互換性成功に数えない）	収集ID比較・v1/v2全suite
tests/test_api_key_legacy_contract.py	A	手書き	独自SDK/CLIの回帰テスト	tests/customへ移設済み（legacyのskipは互換性成功に数えない）	収集ID比較・v1/v2全suite
tests/test_api_key_phase5_contract.py	A	手書き	独自SDK/CLIの回帰テスト	tests/customへ移設済み（legacyのskipは互換性成功に数えない）	収集ID比較・v1/v2全suite
tests/test_cli.py	A	手書き	独自SDK/CLIの回帰テスト	tests/customへ移設済み（legacyのskipは互換性成功に数えない）	収集ID比較・v1/v2全suite
tests/test_client.py	M	Stainless	multipart/SSEの追加hunk	customへ切り出し、元は固定generatedへ復帰済み	収集IDの重複欠落比較・v1/v2全suite
tests/test_streaming.py	M	Stainless	multipart/SSEの追加hunk	customへ切り出し、元は固定generatedへ復帰済み	収集IDの重複欠落比較・v1/v2全suite
README.md	unchanged	Stainless	基準間に差分なし	現状保持	生成比較・lint/test/releaseフロー
requirements.lock	unchanged	Stainless	基準間に差分なし	現状保持	生成比較・lint/test/releaseフロー
requirements-dev.lock	unchanged	Stainless	基準間に差分なし	現状保持	生成比較・lint/test/releaseフロー
noxfile.py	unchanged	Stainless	基準間に差分なし	現状保持	生成比較・lint/test/releaseフロー
.github/workflows/ci.yml	unchanged	Stainless	基準間に差分なし	現状保持	生成比較・lint/test/releaseフロー
.github/workflows/publish-pypi.yml	unchanged	Stainless	基準間に差分なし	現状保持	生成比較・lint/test/releaseフロー
.github/workflows/release-doctor.yml	unchanged	Stainless	基準間に差分なし	現状保持	生成比較・releaseフロー
